frame,track_id,class_name,x,y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,team
120,ball_bt_01,ball,1089.803955078125,746.2714538574219,1075.2904052734375,731.8848876953125,1104.3175048828125,760.6580200195312,0.78125,neutral
120,robot_bt_01,robot,957.4930114746094,783.8185424804688,890.1028442382812,692.2723388671875,1024.8831787109375,875.36474609375,0.7265625,team_right
120,robot_bt_02,robot,239.0671844482422,1490.4219970703125,68.01409912109375,1268.610107421875,410.1202697753906,1712.23388671875,0.734375,team_left
120,robot_bt_03,robot,763.0166625976562,789.0734252929688,702.2845458984375,704.7337646484375,823.748779296875,873.4130859375,0.6875,team_left
121,ball_bt_01,ball,1092.6109008789062,745.242919921875,1078.5914306640625,731.2071533203125,1106.63037109375,759.2786865234375,0.8125,neutral
121,robot_bt_01,robot,954.4153747558594,783.3172302246094,886.18603515625,691.7339477539062,1022.6447143554688,874.9005126953125,0.68359375,team_right
121,robot_bt_02,robot,239.71172714233398,1485.456298828125,69.41649627685547,1267.03173828125,410.0069580078125,1703.880859375,0.6953125,team_left
121,robot_bt_03,robot,770.0498352050781,787.456787109375,710.1405639648438,703.2642822265625,829.9591064453125,871.6492919921875,0.63671875,team_left
122,ball_bt_01,ball,1096.8701782226562,743.5165100097656,1082.3414306640625,729.9259643554688,1111.39892578125,757.1070556640625,0.8046875,neutral
122,robot_bt_01,robot,951.035400390625,784.7848510742188,883.2266845703125,695.3063354492188,1018.8441162109375,874.2633666992188,0.7265625,team_right
122,robot_bt_02,robot,239.58326721191406,1484.8538208007812,69.81570434570312,1263.396240234375,409.350830078125,1706.3114013671875,0.734375,team_left
122,robot_bt_03,robot,777.2344970703125,785.6986389160156,716.9754638671875,701.8161010742188,837.4935302734375,869.5811767578125,0.6875,team_left
123,ball_bt_01,ball,1100.1614379882812,742.4567260742188,1086.443359375,728.990478515625,1113.8795166015625,755.9229736328125,0.8046875,neutral
123,robot_bt_01,robot,946.677734375,781.1414184570312,879.2645263671875,688.205078125,1014.0909423828125,874.0777587890625,0.74609375,team_right
123,robot_bt_02,robot,238.85812759399414,1478.302490234375,69.25000762939453,1260.5234375,408.46624755859375,1696.08154296875,0.765625,team_left
123,robot_bt_03,robot,784.7792053222656,783.6447143554688,724.7685546875,699.916259765625,844.7898559570312,867.3731689453125,0.70703125,team_left
124,ball_bt_01,ball,1103.8443603515625,740.8940734863281,1090.2003173828125,727.23681640625,1117.4884033203125,754.5513305664062,0.78125,neutral
124,robot_bt_01,robot,942.2253112792969,780.1158142089844,876.0886840820312,686.1231689453125,1008.3619384765625,874.1084594726562,0.734375,team_right
124,robot_bt_02,robot,238.60553359985352,1469.5520629882812,70.80115509033203,1254.4122314453125,406.409912109375,1684.69189453125,0.7421875,team_left
124,robot_bt_03,robot,792.5744934082031,782.2848205566406,733.1566162109375,698.8596801757812,851.9923706054688,865.7099609375,0.703125,team_left
125,ball_bt_01,ball,1106.9031372070312,739.0646667480469,1093.3182373046875,725.3414306640625,1120.488037109375,752.7879028320312,0.78125,neutral
125,robot_bt_01,robot,939.3133239746094,780.6249694824219,873.7783203125,687.1963500976562,1004.8483276367188,874.0535888671875,0.80859375,team_right
